10kParcel	vox_count	schaefer18_1kParcel7Net
1.0	309.0	
2.0	445.0	
3.0	2396.0	346.0
4.0	2927.0	573.0
5.0	521.0	
6.0	484.0	20.0
7.0	1182.0	994.0
8.0	990.0	129.0
9.0	463.0	531.0
10.0	1264.0	
11.0	2243.0	963.0
12.0	950.0	564.0
13.0	1503.0	311.0
14.0	1295.0	509.0
15.0	2136.0	354.0
16.0	1630.0	83.0
17.0	706.0	
18.0	2599.0	862.0
19.0	2351.0	874.0
20.0	401.0	
21.0	740.0	253.0
22.0	1345.0	436.0
23.0	1104.0	240.0
24.0	341.0	830.0
25.0	870.0	796.0
26.0	465.0	314.0
27.0	1171.0	413.0
28.0	1609.0	712.0
29.0	453.0	
30.0	1732.0	178.0
31.0	1931.0	
32.0	2146.0	879.0
33.0	1169.0	
34.0	1015.0	776.0
35.0	1302.0	38.0
36.0	1119.0	1.0
37.0	366.0	823.0
38.0	619.0	
39.0	410.0	299.0
40.0	635.0	310.0
41.0	1517.0	422.0
42.0	322.0	
43.0	379.0	
44.0	1783.0	940.0
45.0	1263.0	950.0
46.0	2073.0	464.0
47.0	883.0	828.0
48.0	1591.0	880.0
49.0	1356.0	402.0
50.0	402.0	253.0
51.0	300.0	503.0
52.0	656.0	251.0
53.0	397.0	123.0
54.0	367.0	827.0
55.0	1106.0	730.0
56.0	1181.0	49.0
57.0	740.0	561.0
58.0	874.0	
59.0	473.0	
60.0	435.0	
61.0	1039.0	496.0
62.0	582.0	303.0
63.0	397.0	501.0
64.0	549.0	500.0
65.0	887.0	808.0
66.0	208.0	
67.0	539.0	435.0
68.0	1941.0	590.0
69.0	189.0	771.0
70.0	1044.0	929.0
71.0	411.0	502.0
72.0	702.0	395.0
73.0	896.0	
74.0	365.0	502.0
75.0	865.0	11.0
76.0	184.0	
77.0	782.0	2.0
78.0	875.0	
79.0	527.0	769.0
80.0	437.0	566.0
81.0	389.0	656.0
82.0	273.0	314.0
83.0	361.0	841.0
84.0	1593.0	388.0
85.0	292.0	309.0
86.0	759.0	295.0
87.0	941.0	517.0
88.0	1022.0	502.0
89.0	1147.0	506.0
90.0	235.0	291.0
91.0	518.0	167.0
92.0	1044.0	956.0
93.0	442.0	558.0
94.0	573.0	738.0
95.0	427.0	121.0
96.0	651.0	550.0
97.0	488.0	271.0
98.0	231.0	860.0
99.0	216.0	501.0
100.0	248.0	246.0
